P,P_dyn,q_target,mixture_name,T_w,R_p,R_m,R_j,barker_type,stag_type,T,T_t,u,P_t,run_time
1000.0,180.0,86000.0,air_11,400,0.004765,0.01016,0.05,0,0,1514.912373619253,1574.2956276459288,383.8547863842808,1.18,3.1071287900267635
4000.0,3000.0,1379000.0,CO2_8,400,0.004765,0.01016,0.05,0,0,2551.205165124444,2637.39159176262,817.4203240019041,7.0,3.3222040079999715
1000.0,180.0,344600.0,air_11,400,0.004765,0.01016,0.05,0,0,2788.6354762390365,2829.881606796691,541.4835199055498,1.18,4.77591205801582
2000.0,180.0,1896000.0,CO2_8,400,0.004765,0.01016,0.05,0,0,5381.049901480483,5417.85597281297,603.1952521760724,2.18,5.195686820981791
1000.0,899.9999999999999,1121000.0,air_11,400,0.004765,0.01016,0.05,2,0,4417.36022992311,4581.628362501458,1104.7777571077766,1.4576186257176815,7.6458739359804895
1000.0,180.0,1638000.0,air_11,400,0.004765,0.01016,0.05,2,0,5693.026937969717,5720.738778046929,628.871449716243,1.0725728513311423,8.407051034999313
1000.0,180.0,603300.0,CO2_8,400,0.004765,0.01016,0.05,1,0,2670.2982459945,2694.4517373480817,474.18290973078734,1.16785135483749,8.430186625017086
1000.0,179.99999999999994,344600.0,air_11,400,0.004765,0.01016,0.05,1,0,2808.402124641389,2846.9600739393627,523.8718521608901,1.1655698052007653,9.77279684401583
1000.0,180.0,861900.0,air_11,400,0.004765,0.01016,0.05,1,0,4646.174462950412,4700.212703114736,698.5286973740479,1.1522907773562836,12.859843541984446
